"id","Name","Self-AllMsg","Target-SelfMsg-01","Target-SelfMsg-02","Target-TargetMsg-01","Target-TargetMsg-02","Target-OthersMsg-01","Target-OthersMsg-02","Target-OthersMsg-03"
"1","打一拳","你打了自己一拳","你打了","一拳","","打了你一拳","","打了","一拳"
"2","睡着","你呼呼地睡着了","你看着","呼呼地睡着了","","看着你呼呼地睡着了","","看着","呼呼地睡着了"
"3","惊讶","你万分的惊讶","你看着","万分的惊讶","","看着你万分的惊讶","","看着","万分的惊讶"
"4","愤怒","你显得十分愤怒","你对","十分愤怒","","对你十分愤怒","","对","十分愤怒"
"5","哭泣","你呜呜呜地低泣着","你对着","呜呜呜地低泣着","","对着你呜呜呜地低泣着","","对","呜呜呜地低泣着"
"6","感动","你显得十分感动","你看着","感动万分","","看着你感动万分","","看着","感动万分"
"7","鬼脸","你在大家面前做了个鬼脸","你对","做了个鬼脸","","对你做了个鬼脸","","对","做了个鬼脸"
"8","疑惑","你对这样的行为感到疑惑不解","你对","的行为感到疑惑不解","","对你的行为感到疑惑不解","","对","的行为感到疑惑不解"
"9","不要","你使劲地摇头表示不要","你对","使劲地摇头表示不要","","对你使劲地摇头表示不要","","对","使劲地摇头表示不要"
"10","打招呼","你向大家打了个招呼","你对","打了个招呼","","对你打了个招呼","","对","打了个招呼"
"11","晕倒","你感到一阵头昏目眩，晕倒在地","你看着","感到一阵头昏目眩，晕倒在地","","看着你感到一阵头昏目眩，晕倒在地","","看着","感到一阵头昏目眩，晕倒在地"
"12","呕吐","你稀里哗啦地呕吐起来","你瞄了","一眼，稀里哗啦地呕吐起来","","瞄了你一眼，稀里哗啦地呕吐起来","","瞄了","一眼，稀里哗啦地呕吐起来"
"13","害羞","你害羞地看了看大家","你害羞地看着","","","害羞地看着你","","害羞地看着"
"14","发呆","你目光呆滞地发起呆来","你目光呆滞地看着","发呆","","目光呆滞地看着你发呆","","目光呆滞地看着","发呆"
"15","爱慕","你沉浸在浓浓地爱意之中","你向","投射出爱慕的眼神","","向你投射出爱慕的眼神","","向","投射出爱慕的眼神"
"16","害怕","你感到极度的害怕","你害怕地看着","","","害怕地看着你","","害怕地看着"
"17","鄙视","你鄙视这样的行为","你对","做了个鄙视的动作","","对你做了个鄙视的动作","","对","做了个鄙视的动作"
"18","大骂","你非常生气，破口大骂","你非常生气，对着","破口大骂","","非常生气，对着你破口大骂","","非常生气，对着","破口大骂"
"19","大笑","你开心的哈哈大笑","你对着","开心的哈哈大笑","","对着你开心的哈哈大笑","","对着","开心的哈哈大笑"
"20","汗颜","你对这样的行为感到汗颜","你对","的行为感到汗颜，无语了","","对你的行为感到汗颜，无语了","","对","的行为感到汗颜，无语了"
"21","惊讶","你惊讶得嘴都合不拢了","你看着","惊讶得嘴都合不拢了","","看着你惊讶得嘴都合不拢了","","看着","惊讶得嘴都合不拢了"
"22","狂汗","你对这样的行为感到狂汗","你对","的行为感到狂汗","","对你的行为感到狂汗","","对","的行为感到狂汗"
"23","亲吻","你甜蜜地给了大家一个飞吻","你甜蜜地给了","一个飞吻","","甜蜜地给了你一个飞吻","","甜蜜地给了","一个飞吻"
"24","无奈","你对世间的不公觉得很无奈","你对","的行为感到很无奈","","对你的行为感到很无奈","","对","的行为感到很无奈"
"25","兴奋","你的神经处于极度兴奋的状态中","你兴奋地看着","，表示胜利已尽在掌握之中","","兴奋地看着你，表示胜利已尽在掌握之中","","兴奋地看着","，暗示胜利已尽在掌握之中"
"26","耳光","你给了自己一个耳光","你给了","一个耳光","","给了你一个耳光","","给了","一个耳光"
"27","羡慕","你向大家投出一个羡慕的眼光","你向","投了个羡慕的眼光","","向你投了个羡慕的眼光","","向","投了个羡慕的眼光"
"28","求助","你向大家发出求助的信号","你向","发出求助的信号","","向你发出求助的信号","","向","发出求助的信号"
"29","傻笑","你嘻嘻地傻笑着","你看着","嘻嘻地傻笑着","","看着你嘻嘻地傻笑着","","看着","嘻嘻地傻笑着"
"30","流泪","你眼泪哗啦哗啦地往下流","你对着","眼泪哗啦哗啦地往下流","","对着你眼泪哗啦哗啦地往下流","","对","眼泪哗啦哗啦地往下流"
